iter	RMSE
0	10563.07072
1	10555.80832
2	10548.634
3	10542.02851
4	10534.93488
5	10528.07055
6	10520.92364
7	10513.79754
8	10506.80889
9	10499.7373
10	10492.78597
11	10485.76858
12	10479.36881
13	10472.13936
14	10465.04308
15	10458.49226
16	10451.381
17	10444.64379
18	10437.85821
19	10431.31936
20	10424.3757
21	10417.58216
22	10411.21808
23	10404.07928
24	10396.89575
25	10390.7898
26	10384.64311
27	10378.62229
28	10371.72027
29	10365.74755
30	10358.98561
31	10352.18761
32	10345.87559
33	10338.87027
34	10332.04935
35	10324.87633
36	10317.93199
37	10310.71102
38	10304.5557
39	10297.69299
40	10291.65399
41	10284.6322
42	10278.3003
43	10271.74654
44	10265.19588
45	10258.65493
46	10252.77622
47	10245.71464
48	10238.8385
49	10231.80074
50	10224.99397
51	10219.27047
52	10212.6036
53	10206.42242
54	10199.78987
55	10193.30323
56	10186.89913
57	10180.31451
58	10173.3814
59	10167.36608
60	10160.52645
61	10154.00308
62	10147.2348
63	10140.78137
64	10134.29894
65	10127.30888
66	10120.71781
67	10113.79567
68	10106.74717
69	10100.41466
70	10094.14462
71	10087.82182
72	10081.20109
73	10074.59819
74	10067.64906
75	10060.84372
76	10054.15361
77	10047.52541
78	10041.35626
79	10034.63
80	10028.08294
81	10022.22575
82	10015.88528
83	10009.88076
84	10003.22261
85	9996.489338
86	9990.125927
87	9984.233582
88	9977.842027
89	9971.269257
90	9965.34573
91	9960.07528
92	9953.888786
93	9947.141306
94	9941.427672
95	9934.894173
96	9928.186189
97	9922.291544
98	9916.167653
99	9909.990774
100	9903.624252
101	9897.126356
102	9890.612319
103	9884.484852
104	9878.10022
105	9872.001917
106	9865.249816
107	9858.5566
108	9852.251183
109	9846.512102
110	9840.148323
111	9833.756347
112	9828.097881
113	9822.124003
114	9815.566929
115	9809.080529
116	9803.275766
117	9796.733448
118	9790.115334
119	9784.039865
120	9778.056607
121	9771.639578
122	9765.318385
123	9758.885004
124	9753.29233
125	9746.909381
126	9740.547988
127	9734.632321
128	9728.201228
129	9721.752709
130	9715.316081
131	9709.012754
132	9702.830243
133	9696.064907
134	9689.508663
135	9683.285708
136	9677.468106
137	9671.360296
138	9664.816918
139	9659.024606
140	9652.543168
141	9647.041551
142	9640.789006
143	9634.887656
144	9628.423861
145	9621.912539
146	9615.764554
147	9609.673573
148	9603.791634
149	9597.801631
150	9591.35736
151	9585.989814
152	9580.271231
153	9574.180204
154	9568.002715
155	9561.607417
156	9555.098488
157	9549.022147
158	9542.814841
159	9536.800403
160	9531.330478
161	9525.654476
162	9519.360994
163	9513.301195
164	9507.006453
165	9500.501681
166	9494.970555
167	9488.956626
168	9482.55246
169	9476.610454
170	9470.37862
171	9464.140201
172	9457.890473
173	9451.839536
174	9446.272749
175	9440.000613
176	9433.676555
177	9428.382231
178	9422.196695
179	9415.691859
180	9409.353289
181	9403.362685
182	9397.518773
183	9391.438866
184	9385.137898
185	9379.032898
186	9373.075857
187	9366.838931
188	9360.5687
189	9355.163615
190	9349.901635
191	9344.05192
192	9337.931394
193	9331.818585
194	9325.672638
195	9319.564259
196	9313.466481
197	9307.486756
198	9301.467506
199	9295.31367
200	9289.143842
201	9283.472087
202	9277.48173
203	9271.815769
204	9266.315099
205	9260.499315
206	9254.547644
207	9248.867751
208	9243.543547
209	9238.103879
210	9232.769555
211	9227.350715
212	9222.019376
213	9216.172658
214	9210.632134
215	9204.723868
216	9199.462736
217	9194.022671
218	9188.718657
219	9182.766991
220	9176.711252
221	9170.802397
222	9165.579676
223	9159.886577
224	9154.048603
225	9148.391314
226	9143.43057
227	9138.194451
228	9132.287249
229	9126.288535
230	9120.450067
231	9114.512147
232	9108.810844
233	9103.62331
234	9097.867156
235	9091.985773
236	9086.255878
237	9080.466228
238	9074.837235
239	9069.554377
240	9063.849116
241	9058.538407
242	9052.996148
243	9047.493841
244	9041.304971
245	9035.658172
246	9029.891367
247	9024.492329
248	9018.794064
249	9012.913428
250	9007.23206
251	9001.894325
252	8996.968306
253	8991.014484
254	8985.52157
255	8980.490579
256	8974.297944
257	8968.67215
258	8962.895171
259	8957.356727
260	8951.537902
261	8946.220304
262	8940.910774
263	8935.891527
264	8929.834536
265	8924.935425
266	8919.367146
267	8914.514669
268	8909.470878
269	8903.997171
270	8898.36678
271	8892.582914
