iter	Passed	Remaining
0	180	1807088
1	183	915028
2	185	618413
3	188	470501
4	190	381649
5	193	322638
6	196	280155
7	198	247754
8	200	222638
9	203	202798
10	205	186547
11	218	181889
12	221	169791
13	223	159274
14	225	150044
15	227	141907
16	229	134755
17	232	128909
18	234	123231
19	237	118281
20	239	113740
21	241	109640
22	244	105973
23	246	102604
24	249	99575
25	252	96759
26	254	94148
27	257	91717
28	260	89463
29	272	90649
30	275	88585
31	277	86577
32	280	84773
33	283	82977
34	285	81410
35	288	79895
36	291	78450
37	293	76988
38	296	75821
39	299	74602
40	302	73415
41	304	72234
42	307	71196
43	309	70138
44	312	69138
45	315	68231
46	318	67434
47	320	66485
48	322	65555
49	325	64785
50	328	64011
51	339	64857
52	341	64039
53	343	63256
54	345	62498
55	348	61869
56	350	61161
57	352	60497
58	355	59907
59	357	59240
60	360	58692
61	362	58159
62	365	57664
63	368	57158
64	370	56693
65	373	56205
66	375	55676
67	378	55233
68	380	54780
69	383	54375
70	385	53935
71	388	53522
72	390	53154
73	393	52741
74	395	52364
75	398	51986
76	400	51649
77	403	51313
78	405	50979
79	408	50619
80	410	50287
81	413	49958
82	415	49596
83	418	49389
84	420	49071
85	423	48845
86	426	48582
87	429	48336
88	431	48060
89	433	47752
90	436	47549
91	439	47303
92	442	47106
93	444	46825
94	447	46620
95	449	46369
96	451	46125
97	454	45902
98	456	45696
99	458	45405
100	460	45174
101	463	44962
102	465	44735
103	467	44531
104	515	48608
105	518	48423
106	520	48157
107	522	47893
108	525	47650
109	527	47396
110	530	47218
111	532	47009
112	534	46790
113	543	47130
114	546	46938
115	548	46749
116	551	46570
117	553	46356
118	556	46175
119	559	46036
120	561	45853
121	564	45673
122	570	45849
123	573	45688
124	576	45505
125	578	45336
126	580	45152
127	583	44978
128	616	47189
129	619	47020
130	621	46814
131	623	46631
132	626	46447
133	628	46268
134	645	47170
135	647	46964
136	649	46787
137	652	46606
138	654	46425
139	656	46242
140	658	46063
141	661	45903
142	663	45730
143	665	45553
144	667	45395
145	670	45228
146	672	45077
147	674	44930
148	677	44764
149	679	44627
150	681	44472
151	683	44311
152	686	44166
153	688	44011
154	690	43868
155	701	44273
156	703	44127
157	706	43989
158	708	43838
159	710	43707
160	712	43556
161	729	44323
162	732	44176
